"ID","movie","director","actor_1","actor_2","actor_3","year","language","score"
1,"Avatar","james cameron","cch pounder","joel david moore","wes studi",2009,"English",7.9
2,"Pirates of the Caribbean: At World's End","gore verbinski","johnny depp","orlando bloom","jack davenport",2007,"English",7.1
3,"Spectre","sam mendes","christoph waltz","rory kinnear","stephanie sigman",2015,"English",6.8
4,"The Dark Knight Rises","christopher nolan","tom hardy","christian bale","joseph gordon-levitt",2012,"English",8.5
5,"Star Wars: Episode VII - The Force Awakens","doug walker","doug walker","rob walker","",NA,"",7.1
6,"John Carter","andrew stanton","daryl sabara","samantha morton","polly walker",2012,"English",6.6
7,"Spider-Man 3","sam raimi","j.k. simmons","james franco","kirsten dunst",2007,"English",6.2
8,"Tangled","nathan greno","brad garrett","donna murphy","m.c. gainey",2010,"English",7.8
9,"Avengers: Age of Ultron","joss whedon","chris hemsworth","robert downey jr.","scarlett johansson",2015,"English",7.5
10,"Harry Potter and the Half-Blood Prince","david yates","alan rickman","daniel radcliffe","rupert grint",2009,"English",7.5
11,"Batman v Superman: Dawn of Justice","zack snyder","henry cavill","lauren cohan","alan d. purwin",2016,"English",6.9
12,"Superman Returns","bryan singer","kevin spacey","marlon brando","frank langella",2006,"English",6.1
13,"Quantum of Solace","marc forster","giancarlo giannini","mathieu amalric","rory kinnear",2008,"English",6.7
14,"Pirates of the Caribbean: Dead Man's Chest","gore verbinski","johnny depp","orlando bloom","jack davenport",2006,"English",7.3
15,"The Lone Ranger","gore verbinski","johnny depp","ruth wilson","tom wilkinson",2013,"English",6.5
16,"Man of Steel","zack snyder","henry cavill","christopher meloni","harry lennix",2013,"English",7.2
17,"The Chronicles of Narnia: Prince Caspian","andrew adamson","peter dinklage","pierfrancesco favino","damián alcázar",2008,"English",6.6
18,"The Avengers","joss whedon","chris hemsworth","robert downey jr.","scarlett johansson",2012,"English",8.1
19,"Pirates of the Caribbean: On Stranger Tides","rob marshall","johnny depp","sam claflin","stephen graham",2011,"English",6.7
20,"Men in Black 3","barry sonnenfeld","will smith","michael stuhlbarg","nicole scherzinger",2012,"English",6.8
21,"The Hobbit: The Battle of the Five Armies","peter jackson","aidan turner","adam brown","james nesbitt",2014,"English",7.5
22,"The Amazing Spider-Man","marc webb","emma stone","andrew garfield","chris zylka",2012,"English",7
23,"Robin Hood","ridley scott","mark addy","william hurt","scott grimes",2010,"English",6.7
24,"The Hobbit: The Desolation of Smaug","peter jackson","aidan turner","adam brown","james nesbitt",2013,"English",7.9
25,"The Golden Compass","chris weitz","christopher lee","eva green","kristin scott thomas",2007,"English",6.1
26,"King Kong","peter jackson","naomi watts","thomas kretschmann","evan parke",2005,"English",7.2
27,"Titanic","james cameron","leonardo dicaprio","kate winslet","gloria stuart",1997,"English",7.7
28,"Captain America: Civil War","anthony russo","robert downey jr.","scarlett johansson","chris evans",2016,"English",8.2
29,"Battleship","peter berg","liam neeson","alexander skarsgård","tadanobu asano",2012,"English",5.9
30,"Jurassic World","colin trevorrow","bryce dallas howard","judy greer","omar sy",2015,"English",7
31,"Skyfall","sam mendes","albert finney","helen mccrory","rory kinnear",2012,"English",7.8
32,"Spider-Man 2","sam raimi","j.k. simmons","james franco","kirsten dunst",2004,"English",7.3
33,"Iron Man 3","shane black","robert downey jr.","jon favreau","don cheadle",2013,"English",7.2
34,"Alice in Wonderland","tim burton","johnny depp","alan rickman","anne hathaway",2010,"English",6.5
35,"X-Men: The Last Stand","brett ratner","hugh jackman","kelsey grammer","daniel cudmore",2006,"English",6.8
36,"Monsters University","dan scanlon","steve buscemi","tyler labine","sean hayes",2013,"English",7.3
37,"Transformers: Revenge of the Fallen","michael bay","glenn morshower","kevin dunn","ramon rodriguez",2009,"English",6
38,"Transformers: Age of Extinction","michael bay","bingbing li","sophia myles","kelsey grammer",2014,"English",5.7
39,"Oz the Great and Powerful","sam raimi","tim holmes","mila kunis","james franco",2013,"English",6.4
40,"The Amazing Spider-Man 2","marc webb","emma stone","andrew garfield","b.j. novak",2014,"English",6.7
41,"TRON: Legacy","joseph kosinski","jeff bridges","olivia wilde","james frain",2010,"English",6.8
42,"Cars 2","john lasseter","joe mantegna","thomas kretschmann","eddie izzard",2011,"English",6.3
43,"Green Lantern","martin campbell","ryan reynolds","temuera morrison","taika waititi",2011,"English",5.6
44,"Toy Story 3","lee unkrich","tom hanks","john ratzenberger","don rickles",2010,"English",8.3
45,"Terminator Salvation","mcg","christian bale","bryce dallas howard","common",2009,"English",6.6
46,"Furious 7","james wan","jason statham","paul walker","vin diesel",2015,"English",7.2
47,"World War Z","marc forster","peter capaldi","brad pitt","mireille enos",2013,"English",7
48,"X-Men: Days of Future Past","bryan singer","jennifer lawrence","peter dinklage","hugh jackman",2014,"English",8
49,"Star Trek Into Darkness","j.j. abrams","benedict cumberbatch","bruce greenwood","noel clarke",2013,"English",7.8
50,"Jack the Giant Slayer","bryan singer","eddie marsan","ewen bremner","ralph brown",2013,"English",6.3
51,"The Great Gatsby","baz luhrmann","leonardo dicaprio","elizabeth debicki","steve bisley",2013,"English",7.3
52,"Prince of Persia: The Sands of Time","mike newell","jake gyllenhaal","richard coyle","reece ritchie",2010,"English",6.6
53,"Pacific Rim","guillermo del toro","charlie hunnam","clifton collins jr.","larry joe campbell",2013,"English",7
54,"Transformers: Dark of the Moon","michael bay","glenn morshower","lester speight","kevin dunn",2011,"English",6.3
55,"Indiana Jones and the Kingdom of the Crystal Skull","steven spielberg","harrison ford","ray winstone","jim broadbent",2008,"English",6.2
56,"The Good Dinosaur","peter sohn","a.j. buckley","jack mcgraw","peter sohn",2015,"English",6.8
57,"Brave","mark andrews","kelly macdonald","john ratzenberger","julie walters",2012,"English",7.2
58,"Star Trek Beyond","justin lin","sofia boutella","melissa roxburgh","lydia wilson",2016,"English",7.5
59,"WALL·E","andrew stanton","john ratzenberger","fred willard","jeff garlin",2008,"English",8.4
60,"Rush Hour 3","brett ratner","tzi ma","dana ivey","noémie lenoir",2007,"English",6.2
61,"2012","roland emmerich","oliver platt","liam james","tom mccarthy",2009,"English",5.8
62,"A Christmas Carol","robert zemeckis","robin wright","colin firth","gary oldman",2009,"English",6.8
63,"Jupiter Ascending","lana wachowski","channing tatum","mila kunis","eddie redmayne",2015,"English",5.4
64,"The Legend of Tarzan","david yates","christoph waltz","alexander skarsgård","casper crump",2016,"English",6.6
65,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","andrew adamson","jim broadbent","kiran shah","shane rangi",2005,"English",6.9
66,"X-Men: Apocalypse","bryan singer","jennifer lawrence","michael fassbender","tye sheridan",2016,"English",7.3
67,"The Dark Knight","christopher nolan","christian bale","heath ledger","morgan freeman",2008,"English",9
68,"Up","pete docter","john ratzenberger","delroy lindo","jess harnell",2009,"English",8.3
69,"Monsters vs. Aliens","rob letterman","amy poehler","rainn wilson","stephen colbert",2009,"English",6.5
70,"Iron Man","jon favreau","robert downey jr.","jeff bridges","jon favreau",2008,"English",7.9
71,"Hugo","martin scorsese","chloë grace moretz","christopher lee","ray winstone",2011,"English",7.5
72,"Wild Wild West","barry sonnenfeld","will smith","salma hayek","bai ling",1999,"English",4.8
73,"The Mummy: Tomb of the Dragon Emperor","rob cohen","jet li","brendan fraser","russell wong",2008,"English",5.2
74,"Suicide Squad","david ayer","will smith","robin atkin downes","ike barinholtz",2016,"English",6.9
75,"Evan Almighty","tom shadyac","jimmy bennett","morgan freeman","steve carell",2007,"English",5.4
76,"Edge of Tomorrow","doug liman","tom cruise","lara pulver","noah taylor",2014,"English",7.9
77,"Waterworld","kevin reynolds","jeanne tripplehorn","rick aviles","zakes mokae",1995,"English",6.1
78,"G.I. Joe: The Rise of Cobra","stephen sommers","joseph gordon-levitt","dennis quaid","leo howard",2009,"English",5.8
79,"Inside Out","pete docter","amy poehler","mindy kaling","phyllis smith",2015,"English",8.3
80,"The Jungle Book","jon favreau","scarlett johansson","bill murray","garry shandling",2016,"English",7.8
81,"Iron Man 2","jon favreau","robert downey jr.","scarlett johansson","jon favreau",2010,"English",7
82,"Snow White and the Huntsman","rupert sanders","chris hemsworth","kristen stewart","sam claflin",2012,"English",6.1
83,"Maleficent","robert stromberg","angelina jolie pitt","sharlto copley","sam riley",2014,"English",7
84,"Dawn of the Planet of the Apes","matt reeves","gary oldman","judy greer","kodi smit-mcphee",2014,"English",7.6
85,"The Lovers","roland joffé","tamsin egerton","alice englert","bipasha basu",2015,"English",4.5
86,"47 Ronin","carl rinsch","keanu reeves","cary-hiroyuki tagawa","jin akanishi",2013,"English",6.3
87,"Captain America: The Winter Soldier","anthony russo","scarlett johansson","chris evans","hayley atwell",2014,"English",7.8
88,"Shrek Forever After","mike mitchell","jon hamm","kathy griffin","mary kay place",2010,"English",6.4
89,"Tomorrowland","brad bird","judy greer","chris bauer","thomas robinson",2015,"English",6.5
90,"Big Hero 6","don hall","damon wayans jr.","daniel henney","abraham benrubi",2014,"English",7.9
91,"Wreck-It Ralph","rich moore","jack mcbrayer","sarah silverman","joe lo truglio",2012,"English",7.8
92,"The Polar Express","robert zemeckis","tom hanks","eddie deezen","peter scolari",2004,"English",6.6
93,"Independence Day: Resurgence","roland emmerich","vivica a. fox","sela ward","judd hirsch",2016,"English",5.5
94,"How to Train Your Dragon","dean deblois","gerard butler","america ferrera","craig ferguson",2010,"English",8.2
95,"Terminator 3: Rise of the Machines","jonathan mostow","nick stahl","m.c. gainey","carolyn hennesy",2003,"English",6.4
96,"Guardians of the Galaxy","james gunn","bradley cooper","vin diesel","djimon hounsou",2014,"English",8.1
97,"Interstellar","christopher nolan","matthew mcconaughey","anne hathaway","mackenzie foy",2014,"English",8.6
98,"Inception","christopher nolan","leonardo dicaprio","tom hardy","joseph gordon-levitt",2010,"English",8.8
99,"Godzilla Resurgence","hideaki anno","mark chinnery","shin'ya tsukamoto","atsuko maeda",2016,"Japanese",8.2
100,"The Hobbit: An Unexpected Journey","peter jackson","aidan turner","adam brown","james nesbitt",2012,"English",7.9
101,"The Fast and the Furious","rob cohen","paul walker","vin diesel","jordana brewster",2001,"English",6.7
102,"The Curious Case of Benjamin Button","david fincher","brad pitt","jason flemyng","julia ormond",2008,"English",7.8
103,"X-Men: First Class","matthew vaughn","jennifer lawrence","michael fassbender","oliver platt",2011,"English",7.8
104,"The Hunger Games: Mockingjay - Part 2","francis lawrence","jennifer lawrence","philip seymour hoffman","josh hutcherson",2015,"English",6.6
105,"The Sorcerer's Apprentice","jon turteltaub","nicolas cage","omar benson miller","robert capron",2010,"English",6.1
106,"Poseidon","wolfgang petersen","jimmy bennett","mike vogel","andre braugher",2006,"English",5.6
107,"Alice Through the Looking Glass","james bobin","johnny depp","alan rickman","anne hathaway",2016,"English",6.4
108,"Shrek the Third","chris miller","justin timberlake","eric idle","rupert everett",2007,"English",6.1
109,"Warcraft","duncan jones","dominic cooper","callum rennie","ruth negga",2016,"English",7.3
110,"Terminator Genisys","alan taylor","j.k. simmons","emilia clarke","matt smith",2015,"English",6.6
111,"The Chronicles of Narnia: The Voyage of the Dawn Treader","michael apted","bruce spence","shane rangi","laura brent",2010,"English",6.3
112,"Pearl Harbor","michael bay","jennifer garner","jaime king","mako",2001,"English",6.1
113,"Transformers","michael bay","zack ward","michael o'neill","kevin dunn",2007,"English",7.1
114,"Alexander","oliver stone","anthony hopkins","angelina jolie pitt","brian blessed",2004,"English",5.5
115,"Harry Potter and the Order of the Phoenix","david yates","robert pattinson","daniel radcliffe","fiona shaw",2007,"English",7.5
116,"Harry Potter and the Goblet of Fire","mike newell","robert pattinson","daniel radcliffe","rupert grint",2005,"English",7.6
117,"Hancock","peter berg","will smith","charlize theron","eddie marsan",2008,"English",6.4
118,"I Am Legend","francis lawrence","will smith","alice braga","willow smith",2007,"English",7.2
119,"Charlie and the Chocolate Factory","tim burton","johnny depp","christopher lee","david kelly",2005,"English",6.7
120,"Ratatouille","brad bird","janeane garofalo","john ratzenberger","brian dennehy",2007,"English",8
121,"Batman Begins","christopher nolan","christian bale","liam neeson","morgan freeman",2005,"English",8.3
122,"Madagascar: Escape 2 Africa","eric darnell","bernie mac","jada pinkett smith","cedric the entertainer",2008,"English",6.7
123,"Night at the Museum: Battle of the Smithsonian","shawn levy","robin williams","rami malek","steve coogan",2009,"English",5.9
124,"X-Men Origins: Wolverine","gavin hood","hugh jackman","ryan reynolds","dominic monaghan",2009,"English",6.7
125,"The Matrix Revolutions","lana wachowski","essie davis","collin chou","nona gaye",2003,"English",6.7
126,"Frozen","chris buck","josh gad","maurice lamarche","livvy stubenrauch",2013,"English",7.6
